,Name,SKU,Image,Part Type
345,"Dual Acting Cylinder, 10mm Bore, 75mm Stroke",276-8646,,Pneumatics
346,AI Vision Sensor,276-8659,,Electronics
347,Pneumatic Pressure Regulator,276-8748,,Pneumatics
348,Air Tank 200ml,276-8749,,Pneumatics
350,Double Acting Solenoid,276-8752,,Pneumatics
351,Shut-off Valve Fitting,276-8755,,Pneumatics
352,V5 Flywheel Weight ,276-8794,,Motion
353,"2"" Mecanum Wheels V2 ",276-9041,,Wheel
354,2' Omni-Directional Wheel,276-9044,,Wheel
,"2"" Compression Wheel - 30A Durometer",276-8880,,Wheel
,"2"" Compression Wheel - 40A Durometer",276-8881,,Wheel
,"2"" Compression Wheel - 60A Durometer",276-8882,,Wheel
,"1.625"" Compression Wheel - 30A Durometer",276-8877,,Wheel
,"1.625"" Compression Wheel - 40A Durometer",276-8878,,Wheel
,"1.625"" Compression Wheel - 60A Durometer",276-8879,,Wheel
,"Straight Flex Wheel (1.625"" OD x 1/2"" WD, 1/2"" Hex Bore, 30A)",217-6350,,Wheel
,"Straight Flex Wheel (2"" OD x 1/2"" WD, 1/2"" Hex Bore, 30A)",217-6353,,Wheel
,"Straight Flex Wheel (3"" OD x 1"" WD, 1-1/8"" ID, 30A)",217-6447,,Wheel
,"Straight Flex Wheel (4"" OD x 1"" WD, 1-1/8"" ID, 30A)",217-6450,,Wheel
,"Straight Flex Wheel (1.625"" OD x 1/2"" WD, 1/2"" Hex Bore, 40A)",217-6351,,Wheel
,"Straight Flex Wheel (2"" OD x 1/2"" WD, 1/2"" Hex Bore, 40A)",217-6354,,Wheel
,"Straight Flex Wheel (3"" OD x 1"" WD, 1-1/8"" ID, 40A)",217-6448,,Wheel
,"Straight Flex Wheel (4"" OD x 1"" WD, 1-1/8"" ID, 40A)",217-6451,,Wheel
,"Straight Flex Wheel (1.625"" OD x 1/2"" WD, 1/2"" Hex Bore, 60A)",217-6352,,Wheel
,"Straight Flex Wheel (2"" OD x 1/2"" WD, 1/2"" Hex Bore, 60A)",217-6446,,Wheel
,"Straight Flex Wheel (3"" OD x 1"" WD, 1-1/8"" ID, 60A)",217-6449,,Wheel
,"Straight Flex Wheel (4"" OD x 1"" WD, 1-1/8"" ID, 60A)",217-6452,,Wheel
,"1/2"" VersaHex Adapters (1/4"" Square Bore, 1/8"" Long)",217-5949,,Motion
,"1/2"" VersaHex Adapters (1/4"" Square Bore, 1/4"" Long)",217-5950,,Motion
,"1/2"" VersaHex Adapters v2 (1/4"" Square Bore, 1/8"" Long)",217-7946,,Motion
,"1/2"" VersaHex Adapters v2 (1/4"" Square Bore, 1/8"" Long)",217-7947,,Motion
,1.125” Bearing Bore Plastic VersaHub Spacer (1/2” Wide),217-2591,,Motion
,1/2” Hex Bore Aluminum VersaHub,217-2592,,Motion
,"1.125"" Bearing Pilot Plastic VersaHub (1/4"" Wide, w/ Plate Sprocket Mount)",217-3234,,Motion
,1/2” Hex Bore Plastic VersaHub,217-4009,,Motion
,1/2” Hex Bore Plastic VersaHub v2,217-8079,,Motion
,Reservoir,US14227-S0400,,Pneumatics
,Cylinder Single Acting,NCJ2D10-200S,,Pneumatics
,Cylinder Double Acting,NCJ2D10-200,,Pneumatics
,"Solenoid Fwd, Reverse (	5/2 Single Solenoid Valve, 5VDC)",SYJ3120-SMO-M3-F,,Pneumatics
,"Solenoid On/Off (3/2 Solenoud Valve, 5VDC)",SY113-SMO-PM3-F,,Pneumatics
,"Solenoid Driver (Cable w/Driver, Connects one VEX I/O Port to one Solenoid)",275-1417,,Pneumatics
,Tubing,TUO425B or 275-0447,,Pneumatics
,Flow Meter,AS1201F-M5-04T,,Pneumatics
,Fittings for Valves,KJS04-M3 or KJL04-M3 or KQ2S04-M3G or KQ2L04-M3G,,Pneumatics
,Fittings for Reservoirs,KQ2H03-34S or KQ2H03-34AS,,Pneumatics
,Tire Pump Fitting,KQ2S04-M5 or KQ2S04-M5A,,Pneumatics
,Tire Pump Fitting (2x),8090410075,,Pneumatics
,On/Off Switch,US3729,,Pneumatics
,Pressure Regulator,A-474-0000005,,Pneumatics
,"""T"" Fitting",KQ2T04-00 or KQ2T04-00A,,Pneumatics
,Cylinder Mount,CYLINDER-MOUNT,,Pneumatics
,Cylinder Rod Pivot,CYLINDER-ROD-PIVOT,,Pneumatics
